price,size,rooms,toilets,suites,parking_spots,elevator,furnished,swimming_pool,district,nearest_station_distance,distance_to_city_center
1150,47,2,2,1,1,0,0,0,Artur Alvim,621.3314360591559,17720.38573352271
1148,45,2,2,1,1,0,0,0,Artur Alvim,884.502105308898,17578.214518270288
1100,48,2,2,1,1,0,0,0,Artur Alvim,224.06997998181959,17034.182850846482
1200,48,2,2,1,1,0,0,0,Artur Alvim,562.7685972621292,17323.1172240773
1710,55,2,2,1,1,1,0,0,Artur Alvim,1192.2549317177984,17482.441497849268
1170,50,2,2,1,1,0,0,0,Artur Alvim,829.1535617879094,17969.659731734115
1180,52,1,2,1,1,1,0,0,Artur Alvim,737.4403736169096,17197.89110251279
1050,40,2,2,1,1,0,0,0,Artur Alvim,886.3626048967614,16263.997260770637
1000,65,2,2,1,1,0,0,0,Artur Alvim,829.1535617879094,17969.659731734115
1000,100,2,2,1,1,0,0,0,Artur Alvim,829.1535617879094,17969.659731734115
920,38,2,2,1,1,0,0,0,Artur Alvim,1142.7778150298202,16417.367335280895
950,48,2,2,1,1,0,0,0,Artur Alvim,715.8451633918754,17713.97699692115
1030,56,2,2,1,1,0,0,0,Artur Alvim,917.0715783833148,17280.171396946676
1200,56,2,2,1,1,0,0,0,Artur Alvim,138.7954461844015,17253.060162339647
2218,54,2,2,1,1,1,0,1,Belém,343.26959456861175,5814.543531041024
2016,45,2,2,1,1,0,0,0,Belém,574.4074263515294,4091.900611941873
1837,55,2,2,1,1,1,0,0,Belém,604.7072740315408,4921.7858806166
1906,43,2,2,1,1,1,0,0,Belém,876.7763020849875,4982.084750495789
1750,80,2,2,1,1,1,0,0,Belém,787.6694630606256,4774.570269822148
2020,46,2,2,1,1,0,0,0,Belém,574.4074263515294,4091.900611941873
2700,67,3,2,1,1,1,1,0,Belém,343.78760993399027,5546.977545798989
3220,68,3,2,1,1,0,0,1,Belém,416.6960222201432,5322.522054159283
2143,63,2,2,1,1,0,0,1,Belém,372.37961275653686,5810.933579515406
