Price,condo,size,rooms,toilets,suites,parking,elevator,furnished,swimming_pool,new,district,negotiation_type,property_type,latitude,longitude,property_coords,nearest_metro_station,nearest_metro_station_distance
930,220,47,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.543138,-46.479486,"(-46.479486, -23.543138)",artur-alvim,0.6213932034523764
1000,148,45,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.550239,-46.480717999999996,"(-46.480717999999996, -23.550239)",artur-alvim,0.8863462521325608
1000,100,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.542818,-46.485665000000004,"(-46.485665000000004, -23.542818)",artur-alvim,0.22455511562022237
1000,200,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.547171,-46.483014000000004,"(-46.483014000000004, -23.547171)",artur-alvim,0.56419266998611
1300,410,55,2,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.525025,-46.482436,"(-46.482436, -23.525025)",artur-alvim,1.1955266013412649
1170,0,50,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,"(-46.477195, -23.548751)",corinthians-itaquera,0.8298390829396102
1000,180,52,1,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.54984,-46.484137,"(-46.484137, -23.54984)",artur-alvim,0.73955214159791
900,150,40,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.53974,-46.492670000000004,"(-46.492670000000004, -23.53974)",artur-alvim,0.8860964429809953
1000,0,65,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,"(-46.477195, -23.548751)",corinthians-itaquera,0.8298390829396102
1000,0,100,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,"(-46.477195, -23.548751)",corinthians-itaquera,0.8298390829396102
760,160,38,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.55185,-46.491169,"(-46.491169, -23.55185)",artur-alvim,1.1446355389653537
800,150,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.545761,-46.479509,"(-46.479509, -23.545761)",artur-alvim,0.7164222180187028
900,130,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.552073,-46.483411,"(-46.483411, -23.552073)",artur-alvim,0.9196471338187641
1000,200,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.541366,-46.483726000000004,"(-46.483726000000004, -23.541366)",artur-alvim,0.1389228811102736
1800,418,54,2,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.543955,-46.586619,"(-46.586619, -23.543955)",belem,0.34323404009556224
1600,416,45,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,"(-46.602114, -23.544698)",bresser-mooca,0.5743326047048581
1500,337,55,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.546104,-46.594578999999996,"(-46.594578999999996, -23.546104)",belem,0.6048543715126476
