price,condo,size,rooms,toilets,suites,parking,elevator,furnished,swimming_pool,new,district,negotiation_type,property_type,latitude,longitude,nearest_station,nearest_station_distance
930,220,47,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.543138,-46.479486,artur-alvim,0.6213314360591559
1000,148,45,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.550239,-46.480718,artur-alvim,0.884502105308898
1000,100,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.542818,-46.485665,artur-alvim,0.22406997998181952
1000,200,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.547171,-46.483014,artur-alvim,0.5627685972621291
1300,410,55,2,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.525025,-46.482436,artur-alvim,1.1922549317177986
1170,0,50,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,corinthians-itaquera,0.8291535617879094
1000,180,52,1,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.54984,-46.484137,artur-alvim,0.7374403736169095
900,150,40,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.53974,-46.49267,artur-alvim,0.8863626048967613
1000,0,65,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,corinthians-itaquera,0.8291535617879094
1000,0,100,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,corinthians-itaquera,0.8291535617879094
760,160,38,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.55185,-46.491169,artur-alvim,1.1427778150298202
800,150,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.545761,-46.479509,artur-alvim,0.7158451633918755
900,130,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.552073,-46.483411,artur-alvim,0.9170715783833148
1000,200,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.541366,-46.483726,artur-alvim,0.1387954461844015
1800,418,54,2,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.543955,-46.586619,belem,0.3432695945686117
1600,416,45,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,bresser-mooca,0.5744074263515294
1500,337,55,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.546104,-46.594579,belem,0.6047072740315408
1600,306,43,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.534606,-46.595084,belem,0.8767763020849875
1600,150,80,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.539620000000006,-46.596337,belem,0.7876694630606256
1600,420,46,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,bresser-mooca,0.5744074263515294
2500,720,68,3,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538163,-46.591505,belem,0.4166960222201432
1400,743,63,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.540023,-46.586898,belem,0.3723796127565369
1800,530,59,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,bresser-mooca,0.5744074263515294
