price,condo,size,rooms,toilets,suites,parking,elevator,furnished,swimming_pool,new,district,negotiation_type,property_type,latitude,longitude,nearest_station,nearest_station_distance
732600,1000,74,1,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.552129,-46.692244,vila-madalena,0.4473419594651497
1990000,2400,164,4,5,2,3,1,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.551613,-46.699106,vila-madalena,0.9695477342788176
720000,700,70,2,2,1,1,1,0,1,1,Vila Madalena/São Paulo,sale,apartment,-23.547687,-46.692594,vila-madalena,0.18698760697459102
1680000,1580,155,3,5,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.55259,-46.691103999999996,vila-madalena,0.4648379895293644
1200000,900,56,2,2,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.553086999999998,-46.69789,vila-madalena,0.9048138442004695
1950000,2207,122,3,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.558541,-46.69232,faria-lima,0.6891376576869694
2105860,0,149,4,1,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548473,-46.693005,vila-madalena,0.2578351460808667
1475610,1000,118,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549317000000002,-46.692097,vila-madalena,0.2408444529001877
1350000,1350,112,3,3,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554729000000002,-46.689597,vila-madalena,0.6505455508000576
1880000,1050,149,4,5,2,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548235000000002,-46.692536,vila-madalena,0.20552623782300686
720000,900,73,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.544957,-46.693205999999996,vila-madalena,0.25952155815589906
1100000,1000,94,3,3,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.543664,-46.704285,vila-madalena,1.4792501706275325
650000,0,67,2,2,1,1,1,0,0,1,Vila Madalena/São Paulo,sale,apartment,-23.56215,-46.692518,faria-lima,0.42102092118153733
1500000,1650,156,4,5,3,3,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552595999999998,-46.691106,vila-madalena,0.46529458222930375
928000,1100,97,3,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.545566,-46.693608000000005,vila-madalena,0.2851306292343567
697400,500,67,3,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544082,-46.690373,vila-madalena,0.20216019132413757
750000,835,75,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552039,-46.698436,vila-madalena,0.9163782436930923
2680001,0,168,2,3,2,3,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554117,-46.686749,vila-madalena,0.7580435358768028
820000,1500,93,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.54652,-46.694236,vila-madalena,0.3460102578436108
820000,1500,90,2,2,1,1,0,1,0,0,Vila Madalena/São Paulo,sale,apartment,-23.546733,-46.694201,vila-madalena,0.3425922413189717
1100000,0,93,2,1,2,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.546657999999997,-46.692002,vila-madalena,0.09837866934902538
980000,570,67,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544407999999997,-46.691265,vila-madalena,0.15999211920414846
4125000,0,275,4,5,4,4,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549316,-46.692097,vila-madalena,0.24077630765169625
1150000,0,105,2,3,2,2,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.557858,-46.687365,fradique-coutinho,0.732379109863826
836893,0,68,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549871,-46.693104999999996,vila-madalena,0.3387989519747884
1500000,1750,126,3,3,1,2,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.551683999999998,-46.687401,vila-madalena,0.5727294073690933
1250700,1800,128,3,4,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.545901,-46.707682,pinheiros,1.7481132527444687
530000,335,70,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.544128,-46.694184,vila-madalena,0.38517486935783257
1400000,650,95,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.555403,-46.681228000000004,santuario-nossa-senhora-de-fatima-sumare,0.3764756434077815
522900,700,83,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560845999999998,-46.604265999999996,bresser-mooca,1.1521668588039615
420000,0,71,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563045000000002,-46.594365,belem,1.62945076784579
369000,295,63,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.552691,-46.623627,pedro-ii,0.3475037848490572
686700,800,109,4,4,3,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560845999999998,-46.604265999999996,bresser-mooca,1.1521668588039615
360000,543,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5481,-46.609283000000005,bresser-mooca,0.27167689658265415
1195614,0,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556404,-46.606369,bresser-mooca,0.7721495847804838
2450000,1452,221,3,4,3,4,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550987,-46.590908,belem,0.6365669872472745
919990,701,126,3,4,3,2,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.549196,-46.595386,belem,0.8033101685434904
1550000,1600,172,3,5,3,3,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556104,-46.607512,bresser-mooca,0.7453775839241565
580000,750,87,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55654,-46.604418,bresser-mooca,0.8349379531606081
1650000,1100,185,4,4,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55675,-46.598875,bresser-mooca,1.2153282208512874
629950,0,83,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560043,-46.604831,bresser-mooca,1.0766169776965369
441000,550,69,2,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.603770000000004,bresser-mooca,1.0667385146271327
550000,0,77,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.557436,-46.595304,belem,1.2800957708740484
203000,190,34,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55989,-46.594119,belem,1.3935042075855375
